id ; razonSocial ; email
1;Fantasy Co. ; fantasy@mail.com
2;Pixel Innovators ; pixel@mail.com
3;McDonald ; mcdonald@mail.com
4;Burguer King ; bking@mail.com
5;Fantasy Co. ; fantasy@mail.com
6;Pixel Innovators ; pixel@mail.com
7;McDonald ; mcdonald@mail.com
8;Burguer King ; bking@mail.com
9;Fantasy Co. ; fantasy@mail.com
10;Pixel Innovators ; pixel@mail.com
11;McDonald ; mcdonald@mail.com
12;Burguer King ; bking@mail.com
13;Fantasy Co. ; fantasy@mail.com
14;Pixel Innovators ; pixel@mail.com
15;McDonald ; mcdonald@mail.com
16;Burguer King ; bking@mail.com
17;Fantasy Co. ; fantasy@mail.com
18;Pixel Innovators ; pixel@mail.com
19;McDonald ; mcdonald@mail.com
20;Burguer King ; bking@mail.com
21;Fantasy Co. ; fantasy@mail.com
22;Pixel Innovators ; pixel@mail.com
23;McDonald ; mcdonald@mail.com
24;Burguer King ; bking@mail.com
25;Fantasy Co. ; fantasy@mail.com
26;Pixel Innovators ; pixel@mail.com
27;McDonald ; mcdonald@mail.com
28;Burguer King ; bking@mail.com
29;Fantasy Co. ; fantasy@mail.com
30;Pixel Innovators ; pixel@mail.com
31;McDonald ; mcdonald@mail.com
32;Burguer King ; bking@mail.com
